1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
137,0,241,"[6, 7, 1, 7, 4, 3, 6, 4, 8, 3]",38,11,0.16581625586622517,1,0.005,-1
138,0,171,"[6, 6, 6, 6, 7, 0, 7, 8, 2, 4]",42,10,0.21448304676249075,1,0.005,-1
139,0,190,"[5, 4, 10, 8, 3, 4, 5, 6, 2, 6]",37,16,0.14548899531884532,1,0.005,-1
140,0,98,"[4, 11, 9, 7, 5, 7, 3, 4, 8, 7]",54,11,0.12753582732828622,1,0.005,-1
141,0,233,"[6, 6, 6, 4, 5, 12, 2, 10, 10, 5]",48,18,0.16164388687614192,1,0.005,-1
142,0,22,"[2, 2, 2, 2, 7, 7, 8, 7, 7, 8]",35,17,0.20452302124442767,1,0.005,-1
143,0,282,"[11, 9, 5, 3, 9, 3, 5, 10, 9, 10]",56,18,0.1456485322111988,1,0.005,-1
144,0,45,"[6, 2, 3, 8, 4, 5, 4, 3, 1, 2]",25,13,0.19394378181232014,1,0.005,-1
145,0,87,"[3, 2, 4, 1, 7, 4, 6, 2, 4, 5]",28,10,0.18769732211978865,1,0.005,-1
146,0,189,"[4, 3, 0, 3, 0, 3, 8, 2, 6, 2]",17,14,0.3144345075683814,1,0.005,-1
147,0,228,"[4, 9, 3, 9, 3, 4, 4, 6, 4, 2]",37,11,0.15025121176288644,1,0.005,-1
148,0,170,"[3, 8, 6, 5, 4, 4, 7, 4, 6, 5]",41,11,0.09177503704908054,1,0.005,-1
149,0,254,"[5, 6, 2, 7, 3, 3, 2, 9, 4, 5]",28,18,0.15133736811047618,1,0.005,-1
150,0,200,"[5, 5, 7, 2, 1, 3, 2, 3, 6, 4]",28,10,0.17443439265165434,1,0.005,-1
151,0,222,"[4, 8, 6, 8, 6, 2, 7, 5, 5, 9]",50,10,0.1192512187712298,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,1,61,"[7, 3, 8, 6, 5, 5, 7, 6, 7, 6]",45,15,0.0948248443607341,1,0.005,-1
3,1,232,"[0, 5, 1, 2, 0, 2, 3, 6, 3, 2]",13,11,0.3092183606123735,1,0.005,-1
4,1,206,"[5, 8, 9, 7, 10, 7, 4, 8, 4, 8]",52,18,0.10271579702091665,1,0.005,-1
5,1,229,"[1, 4, 3, 3, 2, 3, 3, 0, 4, 2]",12,13,0.23015952000024978,1,0.005,-1
6,1,65,"[3, 9, 3, 5, 6, 7, 8, 6, 5, 7]",46,13,0.11153264926163299,1,0.005,-1
7,1,76,"[1, 4, 3, 1, 3, 2, 5, 2, 4, 3]",12,16,0.1656598357102018,1,0.005,-1
8,1,126,"[2, 2, 4, 2, 0, 3, 6, 2, 4, 2]",13,14,0.23690403162429297,1,0.005,-1
9,1,210,"[10, 4, 6, 5, 2, 5, 3, 4, 5, 4]",38,10,0.14370936338734316,1,0.005,-1
10,1,175,"[6, 8, 4, 11, 3, 8, 5, 5, 12, 4]",53,13,0.15077385805858784,1,0.005,-1
11,1,150,"[5, 4, 3, 5, 4, 5, 4, 3, 6, 4]",26,17,0.08476025127499223,1,0.005,-1
12,1,287,"[4, 9, 4, 7, 8, 4, 5, 5, 5, 6]",38,19,0.094708208012728,1,0.005,-1
13,1,228,"[4, 9, 3, 9, 3, 4, 4, 6, 4, 2]",37,11,0.15025121176288644,1,0.005,-1
14,1,258,"[2, 1, 2, 4, 2, 5, 1, 3, 3, 4]",10,17,0.1781489408181941,1,0.005,-1
15,1,151,"[6, 4, 3, 3, 1, 1, 5, 2, 4, 4]",17,16,0.17501355043802122,1,0.005,-1
16,1,218,"[3, 8, 5, 3, 7, 6, 4, 2, 3, 4]",31,14,0.1480203857600145,1,0.005,-1
17,1,274,"[5, 3, 4, 2, 2, 0, 4, 4, 2, 7]",19,14,0.2309224848131315,1,0.005,-1
18,1,226,"[6, 4, 4, 5, 6, 6, 2, 4, 3, 3]",28,15,0.12360104424070363,1,0.005,-1
19,1,20,"[2, 3, 2, 3, 3, 1, 3, 4, 3, 3]",12,15,0.10193976157041927,1,0.005,-1
20,1,113,"[5, 1, 7, 7, 3, 8, 4, 9, 2, 7]",38,15,0.1957209064317688,1,0.005,-1
21,1,234,"[3, 9, 4, 2, 2, 4, 3, 4, 3, 3]",25,12,0.1437102318915824,1,0.005,-1
22,1,16,"[3, 7, 2, 3, 4, 2, 4, 7, 4, 2]",25,13,0.14528482252472913,1,0.005,-1
23,1,235,"[2, 5, 7, 6, 9, 4, 6, 5, 7, 6]",47,10,0.12465121005705113,1,0.005,-1
24,1,215,"[1, 9, 6, 7, 10, 5, 5, 10, 7, 5]",54,11,0.15881376559806706,1,0.005,-1
25,1,186,"[7, 1, 5, 5, 5, 5, 3, 5, 5, 8]",38,11,0.16066621682914625,1,0.005,-1
26,1,146,"[4, 5, 3, 4, 3, 1, 4, 2, 6, 3]",24,11,0.1432590956316293,1,0.005,-1
27,1,183,"[2, 5, 2, 2, 2, 2, 7, 3, 2, 1]",12,16,0.18647068495240376,1,0.005,-1
28,1,77,"[6, 7, 5, 8, 2, 4, 7, 4, 6, 4]",40,13,0.11625251739196572,1,0.005,-1
29,1,140,"[5, 4, 5, 6, 4, 7, 2, 9, 6, 3]",37,14,0.13513421060893563,1,0.005,-1
30,1,265,"[4, 4, 5, 5, 3, 2, 6, 3, 5, 4]",28,13,0.10082471629557577,1,0.005,-1
31,1,82,"[3, 1, 3, 3, 2, 4, 2, 3, 3, 4]",18,10,0.12999293495959507,1,0.005,-1
32,1,157,"[6, 2, 4, 4, 2, 2, 4, 8, 2, 5]",21,18,0.16423049543882878,1,0.005,-1
33,1,133,"[3, 1, 0, 4, 3, 2, 2, 1, 1, 3]",10,10,0.25848522420130704,1,0.005,-1
34,1,249,"[4, 2, 6, 10, 6, 5, 6, 11, 8, 2]",49,11,0.1794128673032277,1,0.005,-1
35,1,236,"[3, 5, 3, 1, 0, 4, 3, 4, 4, 4]",21,10,0.2172626490287224,1,0.005,-1
36,1,199,"[6, 5, 4, 7, 11, 6, 6, 2, 3, 2]",42,10,0.18547318840834576,1,0.005,-1
37,1,216,"[6, 3, 8, 1, 4, 4, 7, 5, 6, 3]",34,13,0.1710577129481244,1,0.005,-1
38,1,264,"[6, 5, 3, 10, 6, 5, 10, 8, 11, 6]",53,17,0.12849653107604808,1,0.005,-1
39,1,22,"[2, 2, 2, 2, 7, 7, 8, 7, 7, 8]",35,17,0.20452302124442767,1,0.005,-1
40,1,182,"[4, 5, 12, 8, 7, 9, 11, 3, 7, 5]",57,14,0.15352598882730567,1,0.005,-1
41,1,68,"[2, 5, 4, 6, 2, 1, 1, 5, 2, 4]",17,15,0.18531054884508172,1,0.005,-1
42,1,36,"[2, 4, 8, 4, 3, 2, 0, 4, 6, 1]",17,17,0.26388943725328595,1,0.005,-1
43,1,158,"[4, 2, 3, 4, 3, 2, 2, 1, 5, 3]",13,16,0.15355785016719836,1,0.005,-1
44,1,209,"[1, 2, 3, 0, 1, 2, 3, 3, 5, 7]",14,13,0.2747507643554795,1,0.005,-1
45,1,154,"[2, 4, 6, 3, 7, 2, 5, 0, 3, 3]",22,13,0.2462028539199544,1,0.005,-1
46,1,254,"[5, 6, 2, 7, 3, 3, 2, 9, 4, 5]",28,18,0.15133736811047618,1,0.005,-1
47,1,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]",42,15,0.07825078859970404,1,0.005,-1
48,1,164,"[5, 9, 4, 7, 9, 8, 6, 9, 8, 5]",55,15,0.09170790501915163,1,0.005,-1
49,1,212,"[6, 8, 4, 3, 3, 1, 5, 1, 1, 7]",21,18,0.2301098111099193,1,0.005,-1
50,1,92,"[4, 7, 6, 7, 4, 4, 5, 9, 2, 2]",40,10,0.1461573684344805,1,0.005,-1
51,1,165,"[4, 3, 6, 2, 3, 5, 2, 3, 2, 3]",16,17,0.13671542931738606,1,0.005,-1
52,1,266,"[6, 9, 6, 7, 6, 8, 5, 8, 4, 10]",56,13,0.0829711491497791,1,0.005,-1
53,1,170,"[3, 8, 6, 5, 4, 4, 7, 4, 6, 5]",41,11,0.09177503704908054,1,0.005,-1
54,1,122,"[6, 6, 5, 4, 7, 7, 4, 7, 6, 2]",40,14,0.11763978054310188,1,0.005,-1
55,1,48,"[10, 8, 3, 3, 7, 10, 6, 5, 7, 2]",47,14,0.17214798415611066,1,0.005,-1
56,1,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]",25,11,0.128782100996527,1,0.005,-1
57,1,42,"[5, 5, 5, 3, 5, 3, 1, 6, 6, 5]",34,10,0.13800816373281227,1,0.005,-1
58,1,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.2940003346204622,1,0.005,-1
59,1,118,"[3, 6, 5, 8, 10, 2, 2, 4, 2, 3]",34,11,0.19602406241252754,1,0.005,-1
60,1,171,"[6, 6, 6, 6, 7, 0, 7, 8, 2, 4]",42,10,0.21448304676249075,1,0.005,-1
61,1,240,"[3, 7, 6, 2, 2, 3, 8, 5, 3, 2]",27,14,0.16951736585916682,1,0.005,-1
62,1,241,"[6, 7, 1, 7, 4, 3, 6, 4, 8, 3]",38,11,0.16581625586622517,1,0.005,-1
63,1,275,"[4, 4, 3, 6, 3, 3, 4, 1, 4, 1]",15,18,0.17282619636989568,1,0.005,-1
64,1,152,"[5, 5, 1, 5, 3, 4, 4, 4, 1, 7]",23,16,0.17542417469062693,1,0.005,-1
65,1,155,"[7, 4, 5, 2, 7, 7, 10, 5, 6, 5]",47,11,0.1412520872778963,1,0.005,-1
66,1,211,"[6, 2, 5, 7, 5, 7, 4, 4, 8, 6]",40,14,0.13358769360580686,1,0.005,-1
67,1,78,"[7, 3, 4, 6, 3, 4, 4, 8, 5, 5]",33,16,0.10852799335267894,1,0.005,-1
68,1,81,"[3, 6, 5, 5, 5, 2, 6, 8, 6, 3]",35,14,0.11871710902358382,1,0.005,-1
69,1,247,"[5, 7, 4, 5, 5, 6, 7, 6, 3, 3]",41,10,0.09496617496015365,1,0.005,-1
70,1,84,"[1, 3, 4, 3, 6, 0, 9, 5, 5, 4]",28,12,0.25219789998487807,1,0.005,-1
71,1,112,"[3, 7, 6, 4, 7, 5, 3, 9, 5, 5]",39,15,0.11071288813031863,1,0.005,-1
72,1,269,"[9, 4, 7, 6, 1, 3, 2, 4, 9, 5]",33,17,0.19457217462013726,1,0.005,-1
73,1,127,"[5, 13, 7, 5, 7, 4, 4, 7, 8, 5]",52,13,0.11590397461231958,1,0.005,-1
74,1,130,"[5, 3, 5, 3, 1, 1, 2, 4, 9, 8]",29,12,0.2224828025172973,1,0.005,-1
75,1,202,"[5, 5, 4, 4, 3, 3, 3, 9, 4, 3]",26,17,0.11388831974527852,1,0.005,-1
76,1,87,"[3, 2, 4, 1, 7, 4, 6, 2, 4, 5]",28,10,0.18769732211978865,1,0.005,-1
77,1,53,"[5, 3, 8, 6, 6, 3, 1, 7, 6, 2]",37,10,0.18498502719649632,1,0.005,-1
78,1,54,"[5, 6, 9, 3, 2, 14, 4, 6, 7, 3]",46,13,0.19271155914472451,1,0.005,-1
79,1,245,"[6, 4, 3, 6, 2, 2, 3, 0, 1, 4]",17,14,0.25601916925624546,1,0.005,-1
80,1,244,"[8, 7, 9, 5, 4, 6, 8, 7, 7, 6]",51,16,0.07436024021413662,1,0.005,-1
